player_number,player,gp,gs,minutes_tot,minutes_avg,fg_fgm,fg_fga,fg_fg_pct,3pt,3pt_3pta,3pt_3pt_pct,ft_ftm,ft_fta,ft_ft_pct,scoring_pts,scoring_avg,rebounds_off,rebounds_def,rebounds_tot,rebounds_avg,pf,ast,to,stl,blk,college,season
35,Kayla Grimme,31.0,30.0,951.0,30.7,179,420.0,0.426,26,101.0,0.257,76,92.0,0.826,460.0,14.8,110,153,263.0,8.5,77,36,71,25,56.0,manhattan,2017-18
15,Amani Tatum,31.0,31.0,1041.0,33.6,133,334.0,0.398,71,180.0,0.394,62,92.0,0.674,399.0,12.9,26,99,125.0,4.0,75,137,96,83,2.0,manhattan,2017-18
2,Gabby Cajou,31.0,1.0,915.0,29.5,100,210.0,0.476,16,54.0,0.296,34,48.0,0.708,250.0,8.1,19,52,71.0,2.3,71,110,72,66,4.0,manhattan,2017-18
30,Mikki Guiton,30.0,11.0,478.0,15.9,62,150.0,0.413,1,10.0,0.1,19,28.0,0.679,144.0,4.8,26,43,69.0,2.3,58,8,28,10,3.0,manhattan,2017-18
14,Taylor Williams,30.0,23.0,664.0,22.1,42,145.0,0.29,26,97.0,0.268,10,16.0,0.625,120.0,4.0,20,69,89.0,3.0,22,29,30,20,0.0,manhattan,2017-18
23,Alex Smith,27.0,0.0,182.0,6.7,46,87.0,0.529,0,0.0,0.0,15,33.0,0.455,107.0,4.0,22,25,47.0,1.7,42,2,26,6,8.0,manhattan,2017-18
22,Courtney Warley,31.0,21.0,692.0,22.3,42,98.0,0.429,0,1.0,0.0,37,53.0,0.698,121.0,3.9,54,89,143.0,4.6,71,23,43,21,29.0,manhattan,2017-18
13,Lizahya Morgan,23.0,12.0,301.0,13.1,27,87.0,0.31,9,37.0,0.243,5,9.0,0.556,68.0,3.0,8,21,29.0,1.3,26,34,41,14,0.0,manhattan,2017-18
5,Lynette Taitt,24.0,14.0,276.0,11.5,21,58.0,0.362,5,12.0,0.417,0,2.0,0.0,47.0,2.0,13,26,39.0,1.6,39,16,26,16,2.0,manhattan,2017-18
10,Sini Mäkelä,31.0,11.0,364.0,11.7,19,86.0,0.221,17,77.0,0.221,2,2.0,1.0,57.0,1.8,0,38,38.0,1.2,22,15,14,7,2.0,manhattan,2017-18
32,Nyasha Irizarry,8.0,1.0,90.0,11.3,3,19.0,0.158,3,16.0,0.188,1,2.0,0.5,10.0,1.3,0,8,8.0,1.0,5,1,3,2,1.0,manhattan,2017-18
3,KellyAnne O'Reilly,24.0,0.0,138.0,5.8,7,24.0,0.292,6,21.0,0.286,0,0.0,0.0,20.0,0.8,1,12,13.0,0.5,9,7,6,3,1.0,manhattan,2017-18
12,Julie Høier,21.0,0.0,125.0,6.0,3,18.0,0.167,1,10.0,0.1,2,4.0,0.5,9.0,0.4,7,13,20.0,1.0,10,2,11,2,4.0,manhattan,2017-18
25,Pamela Miceus,5.0,0.0,4.0,0.8,1,1.0,1.0,0,0.0,0.0,0,0.0,0.0,2.0,0.4,0,2,2.0,0.4,0,0,1,0,1.0,manhattan,2017-18
20,Nyala Pendergrass,17.0,0.0,48.0,2.8,2,9.0,0.222,0,0.0,0.0,0,0.0,0.0,4.0,0.2,2,5,7.0,0.4,3,0,6,0,0.0,manhattan,2017-18
4,Emma Bedeker,6.0,0.0,6.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,1,0,0.0,manhattan,2017-18
35,Kayla Grimme,30.0,30.0,936.0,31.2,175,369.0,0.474,22,50.0,0.44,67,85.0,0.788,439.0,14.6,78,153,231.0,7.7,85,26,76,21,60.0,manhattan,2016-17
15,Amani Tatum,24.0,24.0,750.0,31.3,84,240.0,0.35,20,80.0,0.25,51,73.0,0.699,239.0,10.0,29,58,87.0,3.6,77,117,93,73,6.0,manhattan,2016-17
30,Mikki Guiton,29.0,17.0,606.0,20.9,85,159.0,0.535,1,1.0,1.0,19,31.0,0.613,190.0,6.6,35,64,99.0,3.4,72,18,42,11,12.0,manhattan,2016-17
32,Nyasha Irizarry,30.0,20.0,696.0,23.2,61,168.0,0.363,41,126.0,0.325,10,18.0,0.556,173.0,5.8,17,68,85.0,2.8,40,48,46,22,5.0,manhattan,2016-17
31,Maeve Parahus,30.0,13.0,632.0,21.1,50,163.0,0.307,40,124.0,0.323,15,19.0,0.789,155.0,5.2,8,43,51.0,1.7,40,19,15,11,4.0,manhattan,2016-17
2,Gabby Cajou,30.0,15.0,723.0,24.1,54,142.0,0.38,11,50.0,0.22,29,46.0,0.63,148.0,4.9,17,42,59.0,2.0,65,67,73,34,5.0,manhattan,2016-17
14,Taylor Williams,27.0,11.0,595.0,22.0,44,146.0,0.301,22,84.0,0.262,19,28.0,0.679,129.0,4.8,26,73,99.0,3.7,34,36,52,16,2.0,manhattan,2016-17
