college,season,player_number,player,gp,gs,minutes_tot,minutes_avg,fg_fgm,fg_fga,fg_fg_pct,3pt,3pt_3pta,3pt_3pt_pct,ft_ftm,ft_fta,ft_ft_pct,scoring_pts,scoring_avg,rebounds_off,rebounds_def,rebounds_tot,rebounds_avg,pf,ast,to,stl,blk
many_seasons,2017-18,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
many_seasons,2019-20,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
many_seasons,2021-22,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
many_seasons,2018-19,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
many_seasons,2020-21,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
manhattan,2017-18,,Total,31,,6275,202.4,687,1746,0.393,181,616,0.294,263,381,0.69,1818,58.65,375,712,1087,35.1,531,420,495,275,113
manhattan,2016-17,,Total,30,,6000,200.0,615,1609,0.382,181,623,0.291,237,339,0.699,1648,54.93,297,681,978,32.6,515,391,492,220,108
manhattan,2019-20,,Total,29,,5850,201.7,683,1788,0.382,170,579,0.294,239,347,0.689,1775,61.21,365,721,1086,37.4,438,398,425,264,106
manhattan,2021-22,,Total,32,,6400,200.0,791,1972,0.401,144,523,0.275,392,550,0.713,2118,66.19,475,922,1397,43.7,496,386,577,253,102
manhattan,2018-19,,Total,31,,6225,200.8,644,1802,0.357,143,525,0.272,246,404,0.609,1677,54.1,411,759,1170,37.7,532,335,535,278,132
manhattan,2024-25,,Total,31,,6225,200.8,728,1713,0.425,160,539,0.297,297,408,0.728,1913,61.71,315,828,1143,36.9,456,491,537,228,147
manhattan,2014-15,,Total,30,,6000,200.0,575,1677,0.343,131,463,0.283,269,369,0.729,1550,51.67,380,618,998,33.3,468,371,480,229,85
manhattan,2023-24,,Total,30,,6025,200.8,630,1600,0.394,157,526,0.298,300,388,0.773,1717,57.23,311,723,1034,34.5,387,429,483,177,111
manhattan,2013-14,,Total,30,,6025,200.8,650,1605,0.405,177,560,0.316,313,441,0.71,1790,59.67,278,604,882,29.4,501,425,476,275,57
manhattan,2022-23,,Total,33,,6625,200.8,723,2007,0.36,126,485,0.26,402,568,0.708,1974,59.82,519,843,1362,41.3,543,385,593,310,135
manhattan,2015-16,,Total,31,,6200,200.0,691,1867,0.37,127,452,0.281,386,572,0.675,1895,61.13,467,709,1176,37.9,580,382,508,331,140
manhattan,2020-21,,Total,20,,4025,201.3,397,1168,0.34,94,366,0.257,215,316,0.68,1103,55.15,256,515,771,38.6,320,254,323,167,87
mount st marys,2017-18,,Total,29,,5825,200.9,653,1651,0.396,219,640,0.342,329,471,0.699,1854,63.93,301,728,1029,35.5,527,336,523,231,106
mount st marys,2016-17,,Total,30,,6025,200.8,582,1593,0.365,177,572,0.309,422,591,0.714,1763,58.77,295,693,988,32.9,528,320,500,262,94
mount st marys,2019-20,,Total,31,,6197,199.9,732,1802,0.406,264,773,0.342,348,487,0.715,2076,66.97,326,720,1046,33.7,517,441,539,309,99
mount st marys,2021-22,,Total,29,,5800,200.0,661,1571,0.421,218,619,0.352,311,420,0.74,1851,63.83,259,709,968,33.4,476,343,463,205,75
mount st marys,2011-12,,Total,30,,6001,200.0,609,1663,0.366,192,578,0.332,339,481,0.705,1749,58.3,324,649,973,32.4,504,393,484,290,55
mount st marys,2018-19,,Total,31,,6200,200.0,714,1837,0.389,258,795,0.325,378,547,0.691,2064,66.58,408,739,1147,37.0,607,396,530,251,67
mount st marys,2024-25,,Total,31,,6275,202.4,692,1771,0.391,258,733,0.352,341,482,0.707,1983,63.97,296,752,1048,33.8,552,413,525,292,83
mount st marys,2014-15,,Total,30,,6075,202.5,590,1532,0.385,175,497,0.352,360,488,0.738,1715,57.17,283,674,957,31.9,515,320,557,202,62
mount st marys,2023-24,,Total,31,,6225,200.8,639,1752,0.365,161,607,0.265,252,364,0.692,1691,54.55,302,740,1042,33.6,492,342,480,267,91
mount st marys,2013-14,,Total,33,,6675,202.3,792,1865,0.425,251,663,0.379,475,661,0.719,2310,70.0,369,801,1170,35.5,635,451,504,242,84
mount st marys,2012-13,,Total,31,,6300,203.2,661,1675,0.395,172,532,0.323,321,425,0.755,1815,58.55,330,697,1027,33.1,508,413,532,276,94
mount st marys,2022-23,,Total,31,,6250,201.6,638,1746,0.365,226,785,0.288,280,390,0.718,1782,57.48,279,729,1008,32.5,521,344,502,241,84
mount st marys,2015-16,,Total,30,,6002,200.1,614,1646,0.373,137,486,0.282,331,500,0.662,1696,56.53,352,729,1081,36.0,477,326,549,250,62
mount st marys,2010-11,,Total,27,,5449,201.8,519,1447,0.359,160,458,0.349,355,492,0.722,1553,57.52,303,570,873,32.3,421,335,467,246,71
mount st marys,2020-21,,Total,24,,4831,201.3,620,1477,0.42,199,583,0.341,281,354,0.794,1720,71.67,294,627,921,38.4,408,327,363,218,89
canisius,2017-18,,Total,30,,6050,201.7,598,1636,0.366,164,599,0.274,306,476,0.643,1666,55.53,292,769,1061,35.4,515,390,499,204,85
canisius,2016-17,,Total,31,,6225,200.8,656,1624,0.404,186,606,0.307,338,476,0.71,1836,59.23,250,756,1006,32.5,538,424,488,185,81
canisius,2019-20,,Total,30,,6000,200.0,660,1693,0.39,175,512,0.342,336,470,0.715,1831,61.03,336,727,1063,35.4,451,331,520,181,67
canisius,2021-22,,Total,31,,6250,201.6,639,1734,0.369,251,780,0.322,264,401,0.658,1793,57.84,334,693,1027,33.1,479,314,556,198,102
canisius,2018-19,,Total,30,,6100,203.3,644,1655,0.389,163,528,0.309,277,377,0.735,1728,57.6,339,818,1157,38.6,505,326,552,178,83
canisius,2024-25,,Total,31,,6207,200.2,607,1567,0.387,154,541,0.285,339,473,0.717,1707,55.06,316,771,1087,35.1,498,328,706,190,56
canisius,2014-15,,Total,30,,6050,201.7,670,1639,0.409,160,418,0.383,345,506,0.682,1845,61.5,321,663,984,32.8,505,357,485,226,76
canisius,2023-24,,Total,31,,6225,200.8,672,1699,0.396,229,677,0.338,307,456,0.673,1880,60.65,355,763,1118,36.1,516,408,517,180,57
canisius,2013-14,,Total,30,,6025,200.8,637,1591,0.4,154,491,0.314,320,471,0.679,1748,58.27,290,755,1045,34.8,492,411,498,155,104
canisius,2022-23,,Total,30,,6075,202.5,643,1724,0.373,184,663,0.278,329,445,0.739,1799,59.97,335,699,1034,34.5,613,332,540,237,62
canisius,2015-16,,Total,30,,6050,201.7,674,1671,0.403,200,565,0.354,286,392,0.73,1834,61.13,279,788,1067,35.6,500,444,497,160,88
canisius,2020-21,,Total,5,,1000,200.0,86,268,0.321,33,106,0.311,38,63,0.603,243,48.6,34,94,128,25.6,85,51,74,33,14
college1,2017-18,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
college1,2019-20,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
college1,2021-22,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
college1,2018-19,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
college1,2020-21,,Total,37,,7450,201.4,1031,2338,0.441,225,665,0.338,394,578,0.682,2681,72.46,550,899,1449,39.2,604,610,550,377,155
quinnipiac,2017-18,,Total,34,,6850,201.5,888,2177,0.408,291,857,0.34,375,523,0.717,2442,71.82,410,861,1271,37.4,564,572,405,353,145
quinnipiac,2016-17,,Total,36,,7200,200.0,872,2226,0.392,246,792,0.311,471,649,0.726,2461,68.36,479,904,1383,38.4,721,584,529,389,175
quinnipiac,2019-20,,Total,29,,5800,200.0,677,1776,0.381,167,559,0.299,410,605,0.678,1931,66.59,422,752,1174,40.5,487,371,430,224,86
quinnipiac,2002-03,,Total,1,,200,200.0,30,63,0.476,2,11,0.182,18,25,0.72,80,80.0,21,23,44,44.0,22,20,22,10,1
quinnipiac,2021-22,,Total,33,,6675,202.3,829,2006,0.413,197,622,0.317,372,512,0.727,2227,67.48,414,873,1287,39.0,532,444,516,269,122
quinnipiac,2003-04,,Total,2,,401,200.5,55,132,0.417,9,29,0.31,35,48,0.729,154,77.0,45,56,101,50.5,30,27,33,20,3
quinnipiac,2018-19,,Total,33,,6638,201.2,778,2034,0.382,206,729,0.283,391,582,0.672,2153,65.24,479,756,1235,37.4,540,460,406,375,117
