#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
30,"Morris, Mikala  30 Morris, Mikala",21,21.0,661,31.5,116,281,0.413,7,21,0.333,48,62,0.774,287,13.7,74,150,224,10.7,49,32,65,33,45,View Bio
22,"DeWees, Mackenzie  22 DeWees, Mackenzie",21,21.0,731,34.8,103,213,0.484,9,25,0.36,47,78,0.603,262,12.5,54,105,159,7.6,29,54,41,55,3,View Bio
12,"Caverly, Rose  12 Caverly, Rose",21,21.0,761,36.2,70,187,0.374,33,86,0.384,46,58,0.793,219,10.4,12,66,78,3.7,50,100,49,15,2,View Bio
24,"Free, Amani  24 Free, Amani",21,15.0,484,23.0,60,159,0.377,12,46,0.261,39,52,0.75,171,8.1,35,54,89,4.2,51,26,34,18,10,View Bio
23,"Bonner, Sajada  23 Bonner, Sajada",21,12.0,476,22.7,36,130,0.277,19,73,0.26,35,44,0.795,126,6.0,32,15,47,2.2,38,20,25,11,5,View Bio
15,"Haywood, Cur'Tiera  15 Haywood, Cur'Tiera",21,4.0,389,18.5,31,104,0.298,14,50,0.28,13,22,0.591,89,4.2,24,55,79,3.8,27,10,24,9,13,View Bio
05,"Edwards, Shaquana  05 Edwards, Shaquana",2,2.0,41,20.5,3,10,0.3,1,4,0.25,0,2,0.0,7,3.5,0,2,2,1.0,4,5,5,3,0,
33,"Bacchini, Chiara  33 Bacchini, Chiara",19,3.0,222,11.7,22,60,0.367,3,17,0.176,10,18,0.556,57,3.0,14,7,21,1.1,18,19,13,12,2,View Bio
00,"White, Tiera  00 White, Tiera",15,0.0,100,6.7,17,43,0.395,1,9,0.111,7,10,0.7,42,2.8,7,9,16,1.1,11,3,5,3,6,View Bio
14,"Casey, Jillian  14 Casey, Jillian",13,4.0,133,10.2,9,38,0.237,7,29,0.241,3,3,1.0,28,2.2,2,6,8,0.6,3,0,1,3,1,View Bio
01,"Udoji, Vanessa  01 Udoji, Vanessa",20,2.0,225,11.3,18,58,0.31,0,17,0.0,6,11,0.545,42,2.1,15,13,28,1.4,12,17,15,8,3,View Bio
03,"Smith, Halee  03 Smith, Halee",11,0.0,43,3.9,2,11,0.182,0,0,0.0,0,0,0.0,4,0.4,1,6,7,0.6,8,0,7,3,1,View Bio
11,"Almeida, Cat  11 Almeida, Cat",1,0.0,4,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,1,View Bio
TM,Team  TM Team,21,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,58,50,108,5.1,0,0,20,0,0,
10,"William, Nasserine  10 William, Nasserine",1,0.0,5,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,3,0,0,0,0,View Bio
,Total,21,,4275,203.6,487,1294,0.376,106,377,0.281,254,360,0.706,1334,63.52,328,538,866,41.2,303,286,304,173,92,
,Opponents,21,,4255,202.6,458,1233,0.371,123,387,0.318,180,273,0.659,1219,58.05,271,511,782,37.2,381,282,360,133,103,
