#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
25,"Perkins, Robin  25 Perkins, Robin",25,25.0,650,26.0,137,329,0.416,52,155,0.335,62,85,0.729,388,15.5,19,70,89,3.6,46,21,76,28,13,View Bio
03,"Hoskova, Kamila  03 Hoskova, Kamila",33,33.0,1070,32.4,142,314,0.452,31,84,0.369,108,137,0.788,423,12.8,82,101,183,5.5,72,47,69,45,2,View Bio
45,"Duggan, Julia  45 Duggan, Julia",33,33.0,1036,31.4,151,337,0.448,2,4,0.5,87,115,0.757,391,11.8,80,202,282,8.5,109,36,69,57,27,View Bio
04,"Johnson, Stella  04 Johnson, Stella",33,32.0,880,26.7,131,259,0.506,14,46,0.304,50,65,0.769,326,9.9,40,108,148,4.5,104,73,88,93,19,View Bio
21,"Posset, Lexi  21 Posset, Lexi",33,0.0,704,21.3,62,208,0.298,33,106,0.311,59,80,0.738,216,6.5,4,70,74,2.2,67,63,68,32,4,View Bio
05,"Wentzel, Taylor  05 Wentzel, Taylor",33,33.0,762,23.1,27,113,0.239,11,49,0.224,66,100,0.66,131,4.0,8,66,74,2.2,51,92,81,28,8,View Bio
44,"Tolusso, Safie  44 Tolusso, Safie",33,7.0,653,19.8,38,133,0.286,26,88,0.295,8,10,0.8,110,3.3,5,32,37,1.1,25,36,31,8,17,View Bio
12,"Dogan, Yeliz  12 Dogan, Yeliz",33,2.0,549,16.6,45,105,0.429,0,0,0.0,10,17,0.588,100,3.0,52,81,133,4.0,52,20,38,20,6,View Bio
33,"Johnson, Johnnah  33 Johnson, Johnnah",29,0.0,176,6.1,20,47,0.426,0,1,0.0,7,10,0.7,47,1.6,12,21,33,1.1,35,0,10,5,6,View Bio
42,"Goodman, Tracey  42 Goodman, Tracey",22,0.0,112,5.1,11,34,0.324,3,6,0.5,1,3,0.333,26,1.2,5,15,20,0.9,14,2,15,2,4,View Bio
34,"Muwwakkil, Asyana'e  34 Muwwakkil, Asyana'e",7,0.0,12,1.7,1,2,0.5,0,0,0.0,0,0,0.0,2,0.3,0,2,2,0.3,0,0,1,1,0,View Bio
32,"Olikhver, Kristina  32 Olikhver, Kristina",11,0.0,14,1.3,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,3,1,1,0,0,View Bio
22,"Stover, Lexi  22 Stover, Lexi",2,0.0,7,3.5,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0,View Bio
TM,Team  TM Team,33,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,50,61,111,3.4,0,0,11,0,0,
,Total,33,,6625,200.8,765,1884,0.406,172,541,0.318,458,622,0.736,2160,65.45,357,829,1186,35.9,579,391,558,319,106,
,Opponents,33,,6625,200.8,713,1890,0.377,158,544,0.29,407,554,0.735,1991,60.33,394,821,1215,36.8,640,377,613,258,111,
