#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
04,"Hoohuli, Kayla  04 Hoohuli, Kayla",30,30.0,1001,33.4,136,305,0.446,66,152,0.434,61,80,0.763,399,13.3,22,77,99,3.3,48,54,40,46,9,View Bio
05,"Mills, Tiahana  05 Mills, Tiahana",30,29.0,972,32.4,108,246,0.439,21,52,0.404,72,93,0.774,309,10.3,20,94,114,3.8,59,88,116,48,4,View Bio
24,"Porter, Crystal  24 Porter, Crystal",30,30.0,754,25.1,127,280,0.454,0,2,0.0,48,81,0.593,302,10.1,61,116,177,5.9,82,52,81,35,32,View Bio
31,"Weber, Emily  31 Weber, Emily",30,29.0,722,24.1,84,218,0.385,44,109,0.404,56,70,0.8,268,8.9,17,73,90,3.0,52,19,35,17,4,View Bio
20,"Mungo, Jasmine  20 Mungo, Jasmine",27,22.0,504,18.7,50,141,0.355,0,0,0.0,42,75,0.56,142,5.3,46,67,113,4.2,67,11,47,15,10,View Bio
15,"D'Hont, Lauren  15 D'Hont, Lauren",30,0.0,555,18.5,41,131,0.313,13,46,0.283,18,24,0.75,113,3.8,21,48,69,2.3,57,28,38,14,1,View Bio
10,"Halfdanardottir, Margret  10 Halfdanardottir, Margret",29,0.0,423,14.6,39,103,0.379,10,36,0.278,18,25,0.72,106,3.7,7,22,29,1.0,35,26,31,16,0,View Bio
25,"Schwenk, Abby  25 Schwenk, Abby",20,8.0,271,13.6,24,60,0.4,4,8,0.5,14,21,0.667,66,3.3,13,22,35,1.8,30,11,13,5,2,View Bio
35,"Coleman, Laniere  35 Coleman, Laniere",27,0.0,298,11.0,32,67,0.478,0,0,0.0,6,11,0.545,70,2.6,17,38,55,2.0,36,8,18,4,13,View Bio
32,"Serrette, Saliah  32 Serrette, Saliah",14,0.0,47,3.4,5,12,0.417,1,4,0.25,8,12,0.667,19,1.4,5,4,9,0.6,3,1,6,0,0,View Bio
22,"Miskovic, Tamara  22 Miskovic, Tamara",30,2.0,450,15.0,19,60,0.317,1,8,0.125,0,6,0.0,39,1.3,11,35,46,1.5,28,58,49,24,1,View Bio
23,"Cooley, Sarah  23 Cooley, Sarah",14,0.0,53,3.8,5,16,0.313,0,1,0.0,2,8,0.25,12,0.9,11,7,18,1.3,7,1,2,2,0,View Bio
TM,Team  TM Team,29,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,70,60,130,4.5,1,0,9,0,0,
,Total,30,,6050,201.7,670,1639,0.409,160,418,0.383,345,506,0.682,1845,61.5,321,663,984,32.8,505,357,485,226,76,
,Opponents,30,,6050,201.7,708,1698,0.417,175,559,0.313,368,512,0.719,1959,65.3,395,734,1129,37.6,523,429,489,239,113,
