#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
35,"Grimme, Kayla  35 Grimme, Kayla",31,30.0,951,30.7,179,420,0.426,26,101,0.257,76,92,0.826,460,14.8,110,153,263,8.5,77,36,71,25,56,View Bio
15,"Tatum, Amani  15 Tatum, Amani",31,31.0,1041,33.6,133,334,0.398,71,180,0.394,62,92,0.674,399,12.9,26,99,125,4.0,75,137,96,83,2,View Bio
02,"Cajou, Gabby  02 Cajou, Gabby",31,1.0,915,29.5,100,210,0.476,16,54,0.296,34,48,0.708,250,8.1,19,52,71,2.3,71,110,72,66,4,View Bio
30,"Guiton, Mikki  30 Guiton, Mikki",30,11.0,478,15.9,62,150,0.413,1,10,0.1,19,28,0.679,144,4.8,26,43,69,2.3,58,8,28,10,3,View Bio
14,"Williams, Taylor  14 Williams, Taylor",30,23.0,664,22.1,42,145,0.29,26,97,0.268,10,16,0.625,120,4.0,20,69,89,3.0,22,29,30,20,0,View Bio
23,"Smith, Alex  23 Smith, Alex",27,0.0,182,6.7,46,87,0.529,0,0,0.0,15,33,0.455,107,4.0,22,25,47,1.7,42,2,26,6,8,View Bio
22,"Warley, Courtney  22 Warley, Courtney",31,21.0,692,22.3,42,98,0.429,0,1,0.0,37,53,0.698,121,3.9,54,89,143,4.6,71,23,43,21,29,View Bio
13,"Morgan, Lizahya  13 Morgan, Lizahya",23,12.0,301,13.1,27,87,0.31,9,37,0.243,5,9,0.556,68,3.0,8,21,29,1.3,26,34,41,14,0,View Bio
5,"Taitt, Lynette  5 Taitt, Lynette",24,14.0,276,11.5,21,58,0.362,5,12,0.417,0,2,0.0,47,2.0,13,26,39,1.6,39,16,26,16,2,View Bio
10,"Mäkelä, Sini  10 Mäkelä, Sini",31,11.0,364,11.7,19,86,0.221,17,77,0.221,2,2,1.0,57,1.8,0,38,38,1.2,22,15,14,7,2,View Bio
32,"Irizarry, Nyasha  32 Irizarry, Nyasha",8,1.0,90,11.3,3,19,0.158,3,16,0.188,1,2,0.5,10,1.3,0,8,8,1.0,5,1,3,2,1,View Bio
3,"O'Reilly, KellyAnne  3 O'Reilly, KellyAnne",24,0.0,138,5.8,7,24,0.292,6,21,0.286,0,0,0.0,20,0.8,1,12,13,0.5,9,7,6,3,1,View Bio
12,"Høier, Julie  12 Høier, Julie",21,0.0,125,6.0,3,18,0.167,1,10,0.1,2,4,0.5,9,0.4,7,13,20,1.0,10,2,11,2,4,View Bio
25,"Miceus, Pamela  25 Miceus, Pamela",5,0.0,4,0.8,1,1,1.0,0,0,0.0,0,0,0.0,2,0.4,0,2,2,0.4,0,0,1,0,1,View Bio
20,"Pendergrass, Nyala  20 Pendergrass, Nyala",17,0.0,48,2.8,2,9,0.222,0,0,0.0,0,0,0.0,4,0.2,2,5,7,0.4,3,0,6,0,0,View Bio
04,"Bedeker, Emma  04 Bedeker, Emma",6,0.0,6,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,1,0,0,View Bio
TM,Team  TM Team,31,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,67,57,124,4.0,0,0,20,0,0,
,Total,31,,6275,202.4,687,1746,0.393,181,616,0.294,263,381,0.69,1818,58.65,375,712,1087,35.1,531,420,495,275,113,
,Opponents,31,,6275,202.4,663,1642,0.404,166,514,0.323,366,521,0.702,1858,59.94,320,731,1051,33.9,411,405,470,225,90,
