#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
06,"Gomez, Judith  06 Gomez, Judith",32,32.0,1011,31.6,118,282,0.418,53,135,0.393,14,20,0.7,303,9.5,26,94,120,3.8,51,46,49,40,12,View Bio
05,"Fajardo, Ella  05 Fajardo, Ella",32,32.0,842,26.3,108,278,0.388,40,114,0.351,40,51,0.784,296,9.3,32,50,82,2.6,43,83,82,22,1,View Bio
30,"Ward, Zoey  30 Ward, Zoey",31,30.0,848,27.4,99,317,0.312,28,111,0.252,43,54,0.796,269,8.7,50,123,173,5.6,100,48,64,37,10,View Bio
33,"Leary, Erin  33 Leary, Erin",32,25.0,987,30.8,89,214,0.416,31,102,0.304,26,29,0.897,235,7.3,45,119,164,5.1,43,58,31,38,55,View Bio
01,"Vasquez, Chloe  01 Vasquez, Chloe",30,0.0,452,15.1,57,149,0.383,3,22,0.136,32,43,0.744,149,5.0,28,45,73,2.4,46,38,47,12,1,View Bio
20,"Salgado, Destinee  20 Salgado, Destinee",18,8.0,257,14.3,33,79,0.418,0,3,0.0,12,19,0.632,78,4.3,20,43,63,3.5,50,9,34,10,5,View Bio
14,"Zaccagnini, Mya  14 Zaccagnini, Mya",32,0.0,456,14.3,53,165,0.321,18,61,0.295,14,17,0.824,138,4.3,8,50,58,1.8,33,39,48,17,0,View Bio
02,"DePetrillo, Talia  02 DePetrillo, Talia",32,31.0,739,23.1,48,145,0.331,21,76,0.276,16,26,0.615,133,4.2,16,44,60,1.9,44,50,43,30,4,View Bio
22,"Donnelly, Emma  22 Donnelly, Emma",14,1.0,146,10.4,18,55,0.327,5,21,0.238,9,11,0.818,50,3.6,13,12,25,1.8,21,1,10,1,1,View Bio
43,"Carman, Ally  43 Carman, Ally",13,0.0,83,6.4,12,23,0.522,0,0,0.0,4,7,0.571,28,2.2,6,7,13,1.0,13,2,5,0,6,View Bio
21,"Evans, Amaya B.  21 Evans, Amaya B.",17,1.0,132,7.8,13,33,0.394,2,9,0.222,3,8,0.375,31,1.8,5,5,10,0.6,13,6,18,9,1,View Bio
04,"Civera, Ale  04 Civera, Ale",27,0.0,326,12.1,16,67,0.239,9,38,0.237,5,10,0.5,46,1.7,11,41,52,1.9,36,13,21,13,3,View Bio
10,"Gonzalez, Adrianna  10 Gonzalez, Adrianna",15,0.0,96,6.4,7,28,0.25,1,10,0.1,5,6,0.833,20,1.3,3,8,11,0.7,19,3,7,5,1,View Bio
11,"Heron, Taliya  11 Heron, Taliya",5,0.0,17,3.4,1,4,0.25,0,0,0.0,0,0,0.0,2,0.4,2,1,3,0.6,4,1,0,1,0,View Bio
03,"Stone, Nevaeh  03 Stone, Nevaeh",5,0.0,8,1.6,1,3,0.333,0,2,0.0,0,0,0.0,2,0.4,0,0,0,0.0,1,0,2,0,0,View Bio
TM,Team  TM Team,32,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,63,66,129,4.0,0,0,40,0,0,
,Total,32,,6400,200.0,673,1842,0.365,211,704,0.3,223,301,0.741,1780,55.63,328,708,1036,32.4,517,397,501,235,100,
,Opponents,32,,6400,200.0,756,1773,0.426,165,499,0.331,333,490,0.68,2010,62.81,355,838,1193,37.3,417,441,505,213,106,
