#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
11,"Shepard , Thalia  11 Shepard , Thalia",31,30.0,953,30.7,148,376,0.394,22,109,0.202,104,142,0.732,422,13.6,36,97,133,4.3,91,34,84,50,7,View Bio
10,"Garcia , Paloma 10 Garcia , Paloma",31,31.0,829,26.7,109,234,0.466,26,67,0.388,43,59,0.729,287,9.3,30,106,136,4.4,117,69,102,56,8,View Bio
00,"Roman, Madison 00 Roman, Madison",31,31.0,795,25.6,96,226,0.425,10,40,0.25,69,93,0.742,271,8.7,64,205,269,8.7,111,94,101,49,7,View Bio
40,"Caso , Rose 40 Caso , Rose",31,31.0,792,25.5,82,200,0.41,21,58,0.362,61,73,0.836,246,7.9,43,60,103,3.3,45,27,57,22,10,View Bio
05,"Fiore, Mia  05 Fiore, Mia",26,22.0,696,26.8,61,184,0.332,12,58,0.207,35,49,0.714,169,6.5,34,54,88,3.4,35,46,62,30,5,View Bio
22,"Melaschenko, Lydia 22 Melaschenko, Lydia",31,10.0,741,23.9,62,180,0.344,48,135,0.356,21,29,0.724,193,6.2,24,33,57,1.8,52,35,44,22,0,View Bio
01,"Jenkins, Dejah  01 Jenkins, Dejah",15,0.0,143,9.5,14,55,0.255,12,42,0.286,6,8,0.75,46,3.1,5,10,15,1.0,3,9,16,4,1,View Bio
24,"Manion, Molly 24 Manion, Molly",30,0.0,478,15.9,31,90,0.344,7,36,0.194,0,2,0.0,69,2.3,14,35,49,1.6,25,24,23,10,8,View Bio
21,"Johnson , Cadence 21 Johnson , Cadence",22,0.0,278,12.6,17,58,0.293,8,31,0.258,2,6,0.333,44,2.0,13,19,32,1.5,25,12,24,7,1,View Bio
02,"Shishkina, Daria  02 Shishkina, Daria",16,0.0,105,6.6,7,33,0.212,3,16,0.188,8,12,0.667,25,1.6,4,3,7,0.4,6,2,10,6,1,View Bio
12,"Gallegos, Claudia  12 Gallegos, Claudia",19,0.0,98,5.2,11,32,0.344,0,0,0.0,2,3,0.667,24,1.3,11,13,24,1.3,15,2,15,2,1,View Bio
32,"Fears , Kylee 32 Fears , Kylee",25,0.0,208,8.3,13,33,0.394,0,2,0.0,5,13,0.385,31,1.2,18,45,63,2.5,38,9,23,5,3,View Bio
30,"Kelley, Kristen  30 Kelley, Kristen",10,0.0,40,4.0,3,8,0.375,1,4,0.25,3,3,1.0,10,1.0,3,7,10,1.0,2,0,4,3,0,View Bio
04,"Rosenberg, Rylie  04 Rosenberg, Rylie",11,0.0,42,3.8,3,19,0.158,2,15,0.133,0,0,0.0,8,0.7,0,6,6,0.5,2,3,1,0,0,View Bio
30,"Kelley, Kristen  30 Kelley, Kristen",1,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
TM,Team  TM Team,31,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,72,55,127,4.1,0,0,21,0,0,
,Total,31,,6200,200.0,657,1728,0.38,172,613,0.281,359,492,0.73,1845,59.52,371,748,1119,36.1,567,366,587,266,52,
,Opponents,31,,6200,200.0,728,1752,0.416,166,578,0.287,329,486,0.677,1951,62.94,328,724,1052,33.9,531,376,538,310,115,
