#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
22,"Henderson, Sydney  22 Henderson, Sydney",1,1.0,24,24.0,6,14,0.429,1,6,0.167,4,4,1.0,17,17.0,2,1,3,3.0,1,0,4,3,0,View Bio
24,"Dunn, Mary  24 Dunn, Mary",27,27.0,902,33.4,101,234,0.432,22,48,0.458,100,137,0.73,324,12.0,61,113,174,6.4,84,30,67,32,8,View Bio
14,"Christie, Ashley  14 Christie, Ashley",27,27.0,975,36.1,78,237,0.329,41,128,0.32,60,76,0.789,257,9.5,16,66,82,3.0,69,74,81,42,4,View Bio
10,"Mann, Selina  10 Mann, Selina",27,27.0,946,35.0,67,212,0.316,14,56,0.25,77,103,0.748,225,8.3,29,72,101,3.7,63,120,112,85,6,View Bio
34,"Andresson, Sandra  34 Andresson, Sandra",27,26.0,849,31.4,69,203,0.34,17,47,0.362,39,70,0.557,194,7.2,36,62,98,3.6,39,44,62,21,9,View Bio
20,"Grossett, Kayla  20 Grossett, Kayla",27,2.0,440,16.3,46,149,0.309,17,46,0.37,29,36,0.806,138,5.1,24,36,60,2.2,26,29,41,19,3,View Bio
32,"Kaufman, Jessie  32 Kaufman, Jessie",25,9.0,323,12.9,43,110,0.391,25,55,0.455,9,12,0.75,120,4.8,12,35,47,1.9,27,2,13,9,13,View Bio
33,"Lonergan, Tara  33 Lonergan, Tara",27,9.0,449,16.6,49,111,0.441,0,2,0.0,18,25,0.72,116,4.3,21,42,63,2.3,62,19,36,17,18,View Bio
21,"Guerriero, Kelly  21 Guerriero, Kelly",24,0.0,186,7.8,31,90,0.344,23,70,0.329,3,4,0.75,88,3.7,2,16,18,0.8,3,4,17,3,0,View Bio
04,"Westbrooks, Leah  04 Westbrooks, Leah",16,7.0,246,15.4,17,55,0.309,0,0,0.0,8,15,0.533,42,2.6,23,38,61,3.8,38,10,18,15,7,View Bio
45,"Mathews, Rachel  45 Mathews, Rachel",14,0.0,108,7.7,11,31,0.355,0,0,0.0,8,10,0.8,30,2.1,7,15,22,1.6,9,3,6,0,3,View Bio
03,"Scheitrum, Kristin  03 Scheitrum, Kristin",1,0.0,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,2,2.0,0,0,0,0.0,0,0,0,0,0,
TM,Team  TM Team,27,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,70,74,144,5.3,0,0,10,0,0,
,Total,27,,5449,201.8,519,1447,0.359,160,458,0.349,355,492,0.722,1553,57.52,303,570,873,32.3,421,335,467,246,71,
,Opponents,27,,5450,201.9,642,1519,0.423,161,444,0.363,297,430,0.691,1742,64.52,370,700,1070,39.6,449,372,500,231,96,
