#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
22,"Rampado, Victoria  22 Rampado, Victoria",30,30.0,895,29.8,181,424,0.427,20,68,0.294,122,153,0.797,504,16.8,63,173,236,7.9,80,47,81,22,15,View Bio
44,"Stroemple, Kaylee  44 Stroemple, Kaylee",30,30.0,902,30.1,155,303,0.512,5,17,0.294,76,106,0.717,391,13.0,73,108,181,6.0,77,68,72,21,3,View Bio
03,"Corselli, Tiffany  03 Corselli, Tiffany",29,29.0,778,26.8,83,236,0.352,40,128,0.313,27,39,0.692,233,8.0,32,64,96,3.3,82,66,54,46,3,View Bio
24,"Baughman, Morgan 24 Baughman, Morgan",30,29.0,752,25.1,65,180,0.361,58,166,0.349,8,9,0.889,196,6.5,8,64,72,2.4,40,36,34,14,3,View Bio
10,"Sherburne, Jamie  10 Sherburne, Jamie",25,8.0,691,27.6,46,154,0.299,24,71,0.338,23,27,0.852,139,5.6,4,45,49,2.0,54,73,66,15,1,View Bio
04,"Moore, Jai  04 Moore, Jai",20,0.0,215,10.8,25,72,0.347,0,0,0.0,14,21,0.667,64,3.2,10,24,34,1.7,25,9,29,6,0,View Bio
21,"McIntyre, Maggie  21 McIntyre, Maggie",28,23.0,747,26.7,30,66,0.455,21,50,0.42,5,8,0.625,86,3.1,9,46,55,2.0,41,57,30,17,0,View Bio
11,"Bryant, Kharysma 11 Bryant, Kharysma",27,0.0,309,11.4,31,67,0.463,0,0,0.0,17,28,0.607,79,2.9,18,32,50,1.9,36,14,22,14,1,View Bio
25,"Granruth, Emily  25 Granruth, Emily",13,1.0,55,4.2,9,18,0.5,6,14,0.429,4,6,0.667,28,2.2,4,3,7,0.5,3,0,5,1,1,View Bio
33,"Davidsdottir, Dagny  33 Davidsdottir, Dagny",29,0.0,316,10.9,19,65,0.292,0,3,0.0,9,10,0.9,47,1.6,9,41,50,1.7,46,17,41,6,10,View Bio
15,"Gathers, Adila  15 Gathers, Adila",19,0.0,233,12.3,9,30,0.3,0,0,0.0,11,16,0.688,29,1.5,12,29,41,2.2,25,6,10,9,9,View Bio
01,"Cosey, Carolyn  01 Cosey, Carolyn",24,0.0,132,5.5,4,21,0.19,0,0,0.0,4,8,0.5,12,0.5,0,6,6,0.3,29,13,16,5,0,View Bio
TM,Team  TM Team,30,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,62,57,119,4.0,0,0,10,0,0,
,Total,30,,6025,200.8,657,1636,0.402,174,517,0.337,320,431,0.742,1808,60.27,304,692,996,33.2,538,406,470,176,46,
,Opponents,30,,6025,200.8,746,1754,0.425,209,612,0.342,341,496,0.688,2042,68.07,375,722,1097,36.6,455,486,398,247,105,
