#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
01,"Pryor, Ny'Ceara  01 Pryor, Ny'Ceara",29,29.0,965,33.3,206,469,0.439,21,77,0.273,135,204,0.662,568,19.6,63,115,178,6.1,78,113,70,120,8,View Bio
33,"Wood, Amelia  33 Wood, Amelia",29,29.0,817,28.2,94,281,0.335,38,142,0.268,48,64,0.75,274,9.4,15,125,140,4.8,59,37,63,46,20,View Bio
10,"Kirby, Emma  10 Kirby, Emma",29,29.0,687,23.7,106,194,0.546,0,1,0.0,24,50,0.48,236,8.1,76,95,171,5.9,55,18,40,24,16,View Bio
04,"Dudley, Nalyce  04 Dudley, Nalyce",26,17.0,639,24.6,67,184,0.364,11,54,0.204,31,60,0.517,176,6.8,48,55,103,4.0,49,18,52,20,4,View Bio
24,"Johnson, Sierra  24 Johnson, Sierra",29,29.0,873,30.1,50,161,0.311,9,40,0.225,22,41,0.537,131,4.5,19,49,68,2.3,61,53,77,15,3,View Bio
06,"Williams, Carmen  06 Williams, Carmen",28,12.0,613,21.9,41,137,0.299,12,54,0.222,24,30,0.8,118,4.2,20,60,80,2.9,32,29,32,25,2,View Bio
44,"Crespo López, Dianne  44 Crespo López, Dianne",26,0.0,395,15.2,27,95,0.284,11,45,0.244,16,25,0.64,81,3.1,5,38,43,1.7,25,15,31,18,2,View Bio
14,"Kursite, Esther  14 Kursite, Esther",22,0.0,188,8.5,15,35,0.429,0,1,0.0,11,20,0.55,41,1.9,14,24,38,1.7,32,4,15,9,6,View Bio
23,"Pappas, Faith  23 Pappas, Faith",26,0.0,264,10.2,13,55,0.236,9,38,0.237,3,6,0.5,38,1.5,5,15,20,0.8,16,7,13,4,2,View Bio
22,"Brannon, Ciara  22 Brannon, Ciara",25,0.0,203,8.1,12,36,0.333,0,0,0.0,1,6,0.167,25,1.0,17,10,27,1.1,43,5,15,2,7,View Bio
05,"John, Grace  05 John, Grace",22,0.0,152,6.9,6,31,0.194,2,11,0.182,3,8,0.375,17,0.8,5,17,22,1.0,17,9,25,2,0,View Bio
02,"Davis, Thai  02 Davis, Thai",7,0.0,20,2.9,1,4,0.25,0,0,0.0,1,2,0.5,3,0.4,0,1,1,0.1,2,2,6,2,0,View Bio
00,"Nicks, Montana  00 Nicks, Montana",5,0.0,9,1.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0,0,View Bio
TM,Team  TM Team,29,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,63,73,136,4.7,0,0,32,0,0,
,Total,29,,5825,200.9,638,1682,0.379,113,463,0.244,319,516,0.618,1708,58.9,350,677,1027,35.4,469,311,471,287,70,
,Opponents,29,,5825,200.9,680,1594,0.427,165,533,0.31,336,484,0.694,1861,64.17,297,773,1070,36.9,490,420,528,234,126,
