#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
15,"Hughes, Talah  15 Hughes, Talah",30,30.0,954,31.8,139,305,0.456,20,56,0.357,70,96,0.729,368,12.3,55,104,159,5.3,70,45,80,31,23,View Bio
42,"Bethea, Sajanna  42 Bethea, Sajanna",26,18.0,774,29.8,86,220,0.391,7,24,0.292,71,104,0.683,250,9.6,63,93,156,6.0,70,37,75,23,1,View Bio
25,"Mullen, Janelle  25 Mullen, Janelle",30,24.0,777,25.9,74,254,0.291,35,116,0.302,43,53,0.811,226,7.5,19,58,77,2.6,39,54,38,28,9,View Bio
20,"Pero, Zoe  20 Pero, Zoe",30,15.0,625,20.8,71,198,0.359,7,22,0.318,60,73,0.822,209,7.0,36,98,134,4.5,94,23,72,24,18,View Bio
10,"Lochner, Sammy  10 Lochner, Sammy",30,28.0,943,31.4,64,176,0.364,24,66,0.364,18,30,0.6,170,5.7,6,34,40,1.3,51,90,103,20,3,View Bio
23,"Velles, Alyssa  23 Velles, Alyssa",30,1.0,468,15.6,53,168,0.315,42,139,0.302,5,11,0.455,153,5.1,6,54,60,2.0,32,13,18,6,5,View Bio
22,"Tarabocchia, Brianna  22 Tarabocchia, Brianna",30,6.0,436,14.5,28,94,0.298,23,80,0.288,12,14,0.857,91,3.0,15,75,90,3.0,53,21,39,21,4,View Bio
21,"Meier, Samantha  21 Meier, Samantha",24,20.0,441,18.4,31,79,0.392,0,0,0.0,1,1,1.0,63,2.6,27,65,92,3.8,51,18,35,16,6,View Bio
33,"Howell, Ashlie  33 Howell, Ashlie",21,1.0,233,11.1,22,60,0.367,1,9,0.111,7,16,0.438,52,2.5,13,27,40,1.9,24,7,19,2,11,View Bio
21,"Meier, Samantha  21 Meier, Samantha",6,5.0,98,16.3,6,16,0.375,0,1,0.0,0,2,0.0,12,2.0,4,17,21,3.5,13,3,6,3,3,View Bio
24,"Martinez, Imani  24 Martinez, Imani",26,2.0,224,8.6,9,40,0.225,0,0,0.0,5,14,0.357,23,0.9,15,22,37,1.4,19,5,22,4,10,View Bio
03,"Mayfield, Janae  03 Mayfield, Janae",13,0.0,42,3.2,0,4,0.0,0,3,0.0,0,0,0.0,0,0.0,0,1,1,0.1,5,2,2,0,0,View Bio
00,"Spencer, Breana  00 Spencer, Breana",3,0.0,8,2.7,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0,View Bio
TM,Team  TM Team,30,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,54,70,124,4.1,0,0,22,0,0,
,Total,30,,6023,200.8,583,1615,0.361,159,516,0.308,292,414,0.705,1617,53.9,313,718,1031,34.4,522,318,531,178,93,
,Opponents,30,,6025,200.8,743,1747,0.425,194,581,0.334,375,540,0.694,2055,68.5,353,770,1123,37.4,476,420,388,284,110,
