#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
32,"Sims, Maddie  32 Sims, Maddie",30,28.0,1015,33.8,148,322,0.46,4,35,0.114,64,139,0.46,364,12.1,47,187,234,7.8,61,47,87,34,46,View Bio
01,"Jones, Aaliyah  01 Jones, Aaliyah",24,18.0,607,25.3,85,241,0.353,37,112,0.33,57,75,0.76,264,11.0,16,62,78,3.3,74,34,57,41,2,View Bio
42,"Piper, Sabrina  42 Piper, Sabrina",30,30.0,1003,33.4,109,277,0.394,37,118,0.314,71,100,0.71,326,10.9,31,98,129,4.3,71,71,86,32,28,View Bio
14,"Gibson, Joella  14 Gibson, Joella",30,29.0,898,29.9,71,219,0.324,13,67,0.194,56,100,0.56,211,7.0,64,60,124,4.1,83,48,54,43,2,View Bio
22,"Rawls, Deja  22 Rawls, Deja",30,29.0,967,32.2,67,186,0.36,10,38,0.263,67,100,0.67,211,7.0,12,67,79,2.6,75,69,73,28,2,View Bio
02,"Anthony, Amari  02 Anthony, Amari",28,3.0,455,16.3,36,93,0.387,11,32,0.344,28,46,0.609,111,4.0,33,62,95,3.4,27,15,27,16,4,View Bio
12,"Gerostergiou, Marilena  12 Gerostergiou, Marilena",29,11.0,454,15.7,28,83,0.337,3,12,0.25,22,34,0.647,81,2.8,23,44,67,2.3,42,20,38,22,4,View Bio
20,"Peterson, Margo  20 Peterson, Margo",29,0.0,250,8.6,26,86,0.302,16,64,0.25,10,13,0.769,78,2.7,5,25,30,1.0,40,10,12,12,4,View Bio
13,"Strawn, Hanna  13 Strawn, Hanna",17,0.0,191,11.2,12,36,0.333,9,29,0.31,4,8,0.5,37,2.2,1,4,5,0.3,15,11,22,3,0,View Bio
21,"Watts, Tobulayefa  21 Watts, Tobulayefa",27,1.0,212,7.9,24,50,0.48,0,1,0.0,5,22,0.227,53,2.0,16,42,58,2.1,41,3,29,3,11,View Bio
03,"Winston, DeAnna  03 Winston, DeAnna",4,1.0,32,8.0,3,9,0.333,1,3,0.333,0,0,0.0,7,1.8,0,0,0,0.0,2,1,4,1,0,View Bio
24,"Blasetti, Haley  24 Blasetti, Haley",1,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
TM,Team  TM Team,30,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,58,67,125,4.2,1,0,14,0,0,
,Total,30,,6086,202.9,609,1602,0.38,141,511,0.276,384,637,0.603,1743,58.1,306,718,1024,34.1,532,329,503,235,103,
,Opponents,30,,6107,203.6,672,1703,0.395,192,571,0.336,320,488,0.656,1856,61.87,379,774,1153,38.4,586,386,487,242,108,
