Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
21,Jackie Grisdale,8,8.0,277,34.6,40,87,0.46,17,37,0.459,16,19,0.842,113,14.1,7,12,19,2.4,19,9,18,6,1
23,Anna Foley,31,31.0,861,27.8,160,370,0.432,7,46,0.152,79,100,0.79,406,13.1,63,157,220,7.1,115,96,87,36,33
15,Karson Martin,27,21.0,834,30.9,123,303,0.406,25,95,0.263,44,58,0.759,315,11.7,20,61,81,3.0,47,54,61,31,1
24,Ava Sollenne,22,18.0,647,29.4,63,158,0.399,48,124,0.387,17,27,0.63,191,8.7,3,33,36,1.6,48,19,40,13,0
04,Grace LaBarge,31,19.0,718,23.2,77,200,0.385,29,97,0.299,80,103,0.777,263,8.5,38,110,148,4.8,84,28,45,21,15
12,Ella O'Donnell,21,17.0,555,26.4,69,145,0.476,1,3,0.333,31,51,0.608,170,8.1,42,80,122,5.8,52,35,71,13,10
10,Maria Kealy,21,15.0,527,25.1,32,85,0.376,5,21,0.238,16,25,0.64,85,4.0,5,45,50,2.4,40,48,46,15,5
05,Paige Girardi,31,23.0,739,23.8,46,138,0.333,7,59,0.119,13,26,0.5,112,3.6,3,58,61,2.0,45,50,49,20,0
11,Bri Bowen,31,3.0,430,13.9,30,67,0.448,6,20,0.3,17,25,0.68,83,2.7,16,62,78,2.5,49,21,25,14,1
02,Kassidy Thompson,27,0.0,258,9.6,19,66,0.288,5,25,0.2,7,14,0.5,50,1.9,13,44,57,2.1,23,11,14,3,1
32,Reiven Douglas,24,0.0,322,13.4,13,55,0.236,4,24,0.167,10,12,0.833,40,1.7,10,32,42,1.8,28,14,16,10,1
14,Jillian Casey,16,0.0,144,9.0,3,21,0.143,3,17,0.176,0,0,0.0,9,0.6,2,11,13,0.8,4,8,5,3,0
33,Khadijah Tungo,13,0.0,13,1.0,1,2,0.5,0,0,0.0,0,0,0.0,2,0.2,1,1,2,0.2,1,0,0,1,1
