Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
02,Sonia Smith,25,23.0,780,31.2,119,318,0.374,28,83,0.337,60,81,0.741,326,13.0,16,71,87,3.5,53,105,87,44,6
22,Adrianne Hagood,20,17.0,555,27.8,61,185,0.33,23,87,0.264,56,73,0.767,201,10.1,18,23,41,2.1,41,11,32,9,2
30,Olivia Tucker,22,20.0,786,35.7,70,201,0.348,42,110,0.382,15,15,1.0,197,9.0,14,48,62,2.8,47,22,37,19,7
03,Nikki Johnson,21,12.0,561,26.7,52,161,0.323,19,76,0.25,29,39,0.744,152,7.2,16,46,62,3.0,48,57,60,23,2
13,Carly Stroemel,24,17.0,485,20.2,73,160,0.456,0,3,0.0,15,25,0.6,161,6.7,24,84,108,4.5,61,11,23,5,19
15,Asia McCray,23,19.0,514,22.3,38,97,0.392,1,5,0.2,37,59,0.627,114,5.0,37,75,112,4.9,68,15,44,22,11
34,Kelsey Wood,18,6.0,316,17.6,35,87,0.402,0,1,0.0,19,39,0.487,89,4.9,35,64,99,5.5,46,4,21,8,3
24,Maiya Bergdorf,19,6.0,357,18.8,32,53,0.604,0,3,0.0,18,25,0.72,82,4.3,24,53,77,4.1,48,11,25,18,9
21,Olivia Martino,5,2.0,57,11.4,3,8,0.375,0,0,0.0,5,6,0.833,11,2.2,0,5,5,1.0,7,2,2,1,1
05,Wil'Lisha Jackson,20,1.0,172,8.6,13,31,0.419,4,10,0.4,9,12,0.75,39,2.0,5,16,21,1.1,17,2,14,2,2
00,Marie-Laeticia Ziba,15,1.0,173,11.5,12,34,0.353,2,11,0.182,0,4,0.0,26,1.7,9,29,38,2.5,25,3,18,6,0
01,Tiffany Hammond,9,0.0,68,7.6,5,18,0.278,1,9,0.111,2,2,1.0,13,1.4,0,6,6,0.7,13,3,10,2,0
10,Afia Owusu-Mensah,19,0.0,138,7.3,7,31,0.226,3,7,0.429,5,12,0.417,22,1.2,2,13,15,0.8,18,7,17,3,0
12,Maya Klein,8,1.0,53,6.6,4,14,0.286,1,9,0.111,0,0,0.0,9,1.1,0,2,2,0.3,5,1,3,0,0
20,Ann Porter,7,0.0,20,2.9,3,3,1.0,0,0,0.0,0,0,0.0,6,0.9,1,0,1,0.1,2,0,1,1,0
33,Savannah Marshall,6,0.0,15,2.5,1,4,0.25,1,3,0.333,0,0,0.0,3,0.5,2,1,3,0.5,4,0,2,0,0
