Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
15,Talah Hughes,30,30.0,954,31.8,139,305,0.456,20,56,0.357,70,96,0.729,368,12.3,55,104,159,5.3,70,45,80,31,23
42,Sajanna Bethea,26,18.0,774,29.8,86,220,0.391,7,24,0.292,71,104,0.683,250,9.6,63,93,156,6.0,70,37,75,23,1
25,Janelle Mullen,30,24.0,777,25.9,74,254,0.291,35,116,0.302,43,53,0.811,226,7.5,19,58,77,2.6,39,54,38,28,9
20,Zoe Pero,30,15.0,625,20.8,71,198,0.359,7,22,0.318,60,73,0.822,209,7.0,36,98,134,4.5,94,23,72,24,18
10,Sammy Lochner,30,28.0,943,31.4,64,176,0.364,24,66,0.364,18,30,0.6,170,5.7,6,34,40,1.3,51,90,103,20,3
23,Alyssa Velles,30,1.0,468,15.6,53,168,0.315,42,139,0.302,5,11,0.455,153,5.1,6,54,60,2.0,32,13,18,6,5
22,Brianna Tarabocchia,30,6.0,436,14.5,28,94,0.298,23,80,0.288,12,14,0.857,91,3.0,15,75,90,3.0,53,21,39,21,4
21,Samantha Meier,24,20.0,441,18.4,31,79,0.392,0,0,0.0,1,1,1.0,63,2.6,27,65,92,3.8,51,18,35,16,6
33,Ashlie Howell,21,1.0,233,11.1,22,60,0.367,1,9,0.111,7,16,0.438,52,2.5,13,27,40,1.9,24,7,19,2,11
21,Samantha Meier,6,5.0,98,16.3,6,16,0.375,0,1,0.0,0,2,0.0,12,2.0,4,17,21,3.5,13,3,6,3,3
24,Imani Martinez,26,2.0,224,8.6,9,40,0.225,0,0,0.0,5,14,0.357,23,0.9,15,22,37,1.4,19,5,22,4,10
03,Janae Mayfield,13,0.0,42,3.2,0,4,0.0,0,3,0.0,0,0,0.0,0,0.0,0,1,1,0.1,5,2,2,0,0
00,Breana Spencer,3,0.0,8,2.7,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0
