Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
03,Kiara Fisher,15,13.0,457,30.5,66,169,0.391,12,41,0.293,45,61,0.738,189,12.6,8,41,49,3.3,22,57,63,34,4
05,Trinasia Kennedy,20,20.0,642,32.1,76,233,0.326,29,106,0.274,31,50,0.62,212,10.6,14,71,85,4.3,38,42,47,35,7
20,Zaria Shazer,28,27.0,803,28.7,111,302,0.368,3,17,0.176,53,79,0.671,278,9.9,58,139,197,7.0,72,25,52,33,39
33,Kendall Krick,27,27.0,842,31.2,80,176,0.455,12,54,0.222,32,45,0.711,204,7.6,30,73,103,3.8,49,33,38,40,3
22,Anabel Ellison,24,18.0,580,24.2,45,156,0.288,17,74,0.23,45,68,0.662,152,6.3,21,54,75,3.1,48,64,71,29,6
32,Samantha Bailey,29,29.0,751,25.9,52,161,0.323,12,61,0.197,18,27,0.667,134,4.6,27,84,111,3.8,45,17,42,23,11
13,Julianna Bonilla,27,2.0,446,16.5,32,109,0.294,12,58,0.207,12,22,0.545,88,3.3,17,53,70,2.6,26,32,47,13,8
14,Erin Fox,28,1.0,323,11.5,26,89,0.292,11,43,0.256,13,17,0.765,76,2.7,25,30,55,2.0,26,10,14,6,7
25,Catie Cunningham,29,0.0,323,11.1,32,79,0.405,0,6,0.0,14,19,0.737,78,2.7,24,26,50,1.7,20,10,13,11,5
04,Emma Wax,21,5.0,293,14.0,19,78,0.244,14,50,0.28,3,4,0.75,55,2.6,1,18,19,0.9,14,16,22,6,4
30,Siobhan Boylan,28,3.0,316,11.3,18,68,0.265,9,33,0.273,15,20,0.75,60,2.1,6,31,37,1.3,14,13,16,14,6
42,McKenna Rife,9,0.0,29,3.2,1,6,0.167,0,0,0.0,0,1,0.0,2,0.2,2,2,4,0.4,7,0,0,0,1
