Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
04,Jai Moore,30,28.0,834,27.8,173,503,0.344,44,173,0.254,91,132,0.689,481,16.0,29,59,88,2.9,46,56,96,25,3
12,Emerald Ekpiteta,31,28.0,829,26.7,111,226,0.491,3,12,0.25,63,106,0.594,288,9.3,100,115,215,6.9,46,31,67,48,7
21,Maggie McIntyre,31,7.0,737,23.8,92,243,0.379,71,183,0.388,32,41,0.78,287,9.3,6,57,63,2.0,39,59,49,38,0
03,Adia Brisker,31,29.0,700,22.6,75,220,0.341,13,34,0.382,62,92,0.674,225,7.3,43,104,147,4.7,44,35,60,34,5
01,Jordan Edwards,30,24.0,747,24.9,56,150,0.373,12,39,0.308,24,34,0.706,148,4.9,12,38,50,1.7,52,58,52,38,3
24,Morgan Baughman,31,12.0,730,23.5,50,160,0.313,37,121,0.306,15,23,0.652,152,4.9,34,76,110,3.5,55,23,37,26,7
33,Dagny Davidsdottir,26,19.0,454,17.5,53,120,0.442,0,10,0.0,18,20,0.9,124,4.8,42,60,102,3.9,41,19,42,9,12
11,Angel Parker,31,4.0,369,11.9,44,100,0.44,4,11,0.364,25,45,0.556,117,3.8,15,36,51,1.6,67,39,66,37,2
14,Olivia Mason,8,3.0,128,16.0,11,25,0.44,0,0,0.0,1,2,0.5,23,2.9,13,9,22,2.8,23,4,9,11,2
00,Valentina Pepic,29,0.0,197,6.8,27,69,0.391,0,0,0.0,7,11,0.636,61,2.1,31,24,55,1.9,26,6,14,9,6
30,Sydney Faulcon,28,0.0,156,5.6,20,50,0.4,0,0,0.0,16,26,0.615,56,2.0,14,18,32,1.1,27,0,18,5,8
20,Ally Haar,28,0.0,246,8.8,8,46,0.174,5,29,0.172,9,12,0.75,30,1.1,2,12,14,0.5,16,23,15,9,0
05,Claire Wanzer,13,1.0,50,3.8,2,10,0.2,1,7,0.143,1,2,0.5,6,0.5,1,1,2,0.2,3,2,4,3,0
23,Kyra Grimshaw,20,0.0,73,3.7,3,18,0.167,0,5,0.0,3,3,1.0,9,0.5,4,4,8,0.4,11,2,2,1,0
