Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
07,Teresa Seppala,28,28.0,1008,36.0,150,344,0.436,55,139,0.396,112,121,0.926,467,16.7,44,130,174,6.2,72,67,96,48,15
00,Ahniysha Jackson,29,28.0,926,31.9,164,456,0.36,61,204,0.299,66,88,0.75,455,15.7,20,44,64,2.2,76,78,73,33,10
21,Anajah Brown,28,26.0,752,26.9,119,227,0.524,0,0,0.0,56,79,0.709,294,10.5,104,103,207,7.4,82,64,65,36,25
03,Myriam Traore,23,6.0,529,23.0,62,116,0.534,21,55,0.382,22,35,0.629,167,7.3,23,73,96,4.2,57,25,40,12,13
02,Aniya Hooker,25,23.0,740,29.6,60,141,0.426,12,46,0.261,19,24,0.792,151,6.0,8,48,56,2.2,57,61,49,35,9
15,Zyriah Price,27,9.0,541,20.0,50,123,0.407,4,32,0.125,23,35,0.657,127,4.7,40,93,133,4.9,62,20,45,28,12
13,KB Hadley,30,12.0,584,19.5,52,143,0.364,4,17,0.235,24,40,0.6,132,4.4,21,30,51,1.7,44,49,52,20,0
10,Ana Conde,31,3.0,474,15.3,39,94,0.415,4,14,0.286,12,23,0.522,94,3.0,27,70,97,3.1,35,24,41,10,3
54,Peppi Lohko,15,13.0,254,16.9,13,49,0.265,7,27,0.259,10,10,1.0,43,2.9,11,27,38,2.5,23,8,28,5,9
25,Eszter Turi,20,5.0,304,15.2,17,55,0.309,0,3,0.0,20,29,0.69,54,2.7,25,29,54,2.7,30,20,32,14,6
33,Zoe Richardson,14,2.0,88,6.3,7,24,0.292,5,17,0.294,0,0,0.0,19,1.4,4,2,6,0.4,11,3,5,1,1
