Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
05,Lindsay Werner,29,29.0,855,29.5,165,394,0.419,70,183,0.383,54,72,0.75,454,15.7,33,35,68,2.3,50,57,104,29,2
24,Denia Davis-Stewart,30,30.0,878,29.3,167,332,0.503,3,7,0.429,64,89,0.719,401,13.4,91,244,335,11.2,85,21,56,31,107
21,Mayson Kimball,30,25.0,877,29.2,127,328,0.387,46,152,0.303,62,86,0.721,362,12.1,29,156,185,6.2,53,62,73,38,12
00,Alyssa Casey,30,30.0,725,24.2,140,297,0.471,52,132,0.394,20,26,0.769,352,11.7,28,110,138,4.6,56,44,39,31,8
10,Kate Mager,30,6.0,804,26.8,80,200,0.4,66,170,0.388,12,14,0.857,238,7.9,5,88,93,3.1,27,25,11,12,1
01,Karlee Alves,30,30.0,965,32.2,70,170,0.412,6,16,0.375,58,81,0.716,204,6.8,15,76,91,3.0,64,232,105,90,5
13,Caroline Wilson,14,0.0,129,9.2,12,40,0.3,5,21,0.238,6,13,0.462,35,2.5,9,20,29,2.1,20,10,12,5,1
23,Lexi Martin,27,0.0,279,10.3,27,60,0.45,2,10,0.2,9,13,0.692,65,2.4,20,41,61,2.3,17,23,27,15,5
11,Marissa Gattuso,28,0.0,244,8.7,15,33,0.455,0,3,0.0,5,12,0.417,35,1.3,4,19,23,0.8,14,40,26,23,0
03,Emily Houle,13,0.0,77,5.9,6,20,0.3,3,9,0.333,1,3,0.333,16,1.2,9,16,25,1.9,7,3,9,4,0
22,Giulia Orlando,4,0.0,13,3.3,1,2,0.5,0,1,0.0,2,4,0.5,4,1.0,0,1,1,0.3,1,0,1,0,0
20,Alyssa Torres,24,0.0,204,8.5,10,32,0.313,1,8,0.125,2,10,0.2,23,1.0,7,6,13,0.5,32,11,21,11,1
