Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
21,Casey Smith,31,31.0,924,29.8,156,354,0.441,0,5,0.0,58,84,0.69,370,11.9,38,106,144,4.6,72,71,44,21,29
40,Kristin Schatzlein,31,31.0,1123,36.2,132,348,0.379,66,189,0.349,30,36,0.833,360,11.6,30,92,122,3.9,48,85,69,39,9
11,Samantha Cooper,31,30.0,906,29.2,79,231,0.342,40,119,0.336,44,74,0.595,242,7.8,42,166,208,6.7,49,60,63,18,11
23,Kelsey Carey,31,8.0,594,19.2,106,221,0.48,0,1,0.0,21,48,0.438,233,7.5,48,78,126,4.1,50,25,42,20,3
24,Kristine Miller,31,11.0,537,17.3,69,112,0.616,0,1,0.0,36,52,0.692,174,5.6,41,54,95,3.1,69,21,29,22,20
12,Helena Orts,31,12.0,449,14.5,57,132,0.432,2,6,0.333,19,28,0.679,135,4.4,43,59,102,3.3,56,25,40,7,3
05,Felicia DaCruz,30,28.0,960,32.0,42,163,0.258,11,44,0.25,34,53,0.642,129,4.3,28,63,91,3.0,61,116,52,25,1
30,Margeaux Dupuy,24,0.0,239,10.0,24,75,0.32,16,54,0.296,12,19,0.632,76,3.2,5,10,15,0.6,32,9,24,4,0
01,Lizzy Ball,31,4.0,398,12.8,9,27,0.333,1,6,0.167,16,27,0.593,35,1.1,11,35,46,1.5,40,48,29,11,1
15,Kristen McLaughlin,11,0.0,50,4.5,3,8,0.375,2,5,0.4,2,4,0.5,10,0.9,2,2,4,0.4,1,1,1,2,2
03,Sarah Stock,9,0.0,31,3.4,2,6,0.333,2,5,0.4,0,2,0.0,6,0.7,0,0,0,0.0,1,1,1,0,0
14,Macey Hollenshead,14,0.0,47,3.4,2,11,0.182,1,4,0.25,0,3,0.0,5,0.4,1,3,4,0.3,8,2,10,3,0
25,Emma McCarthy,11,0.0,12,1.1,0,0,0.0,0,0,0.0,1,2,0.5,1,0.1,0,1,1,0.1,1,0,0,0,0
22,Jamie Melville,7,0.0,5,0.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,1,0.1,1,0,1,0,0
