Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
04,Stella Johnson,30,30.0,1111,37.0,261,555,0.47,51,155,0.329,172,214,0.804,745,24.8,54,174,228,7.6,95,113,138,86,25
13,Lea Favre ,29,25.0,939,32.4,159,307,0.518,1,1,1.0,26,41,0.634,345,11.9,72,47,119,4.1,59,35,41,19,19
31,Amari Johnson,30,30.0,1022,34.1,138,367,0.376,25,95,0.263,48,71,0.676,349,11.6,70,249,319,10.6,85,28,62,32,42
03,Amanda Mobley,30,29.0,958,31.9,96,258,0.372,45,131,0.344,40,44,0.909,277,9.2,11,82,93,3.1,61,151,98,50,15
11,Daija Moses,29,6.0,535,18.4,42,93,0.452,6,21,0.286,17,26,0.654,107,3.7,26,51,77,2.7,70,32,35,25,2
42,Tracey Goodman,23,0.0,229,10.0,21,60,0.35,8,21,0.381,9,16,0.563,59,2.6,12,27,39,1.7,36,9,21,4,3
22,Lexi Stover,30,1.0,382,12.7,22,82,0.268,16,66,0.242,2,5,0.4,62,2.1,7,27,34,1.1,26,18,14,6,1
44,Victoria Toomey,23,0.0,132,5.7,13,27,0.481,0,1,0.0,7,12,0.583,33,1.4,8,12,20,0.9,20,4,10,2,2
32,Aubre Johnson,30,29.0,557,18.6,16,36,0.444,0,1,0.0,2,4,0.5,34,1.1,15,99,114,3.8,93,30,20,25,17
05,Maya Hyacienth,25,0.0,124,5.0,7,24,0.292,4,19,0.211,3,4,0.75,21,0.8,5,8,13,0.5,13,1,11,4,1
00,Lauren Saa,4,0.0,13,3.3,1,1,1.0,1,1,1.0,0,0,0.0,3,0.8,0,2,2,0.5,0,1,0,0,0
33,Sophia DeMauro,11,0.0,38,3.5,1,4,0.25,0,3,0.0,5,7,0.714,7,0.6,1,4,5,0.5,7,2,10,1,1
23,Teresa Wolak,5,0.0,10,2.0,0,1,0.0,0,1,0.0,2,2,1.0,2,0.4,2,2,4,0.8,1,0,1,0,0
