Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
14,Sara Hinriksdottir,30,25.0,961,32.0,167,409,0.408,38,136,0.279,76,98,0.776,448,14.9,36,132,168,5.6,48,69,102,24,19
10,Margret Halfdanardottir,30,27.0,874,29.1,100,242,0.413,33,109,0.303,44,57,0.772,277,9.2,20,45,65,2.2,40,65,69,20,5
13,Maria Welch,25,10.0,567,22.7,71,197,0.36,39,121,0.322,28,41,0.683,209,8.4,6,91,97,3.9,54,39,43,21,10
24,Tiana Pugh,23,9.0,413,18.0,47,133,0.353,17,55,0.309,27,41,0.659,138,6.0,18,58,76,3.3,45,17,31,11,11
44,Danielle Sanderlin,27,15.0,424,15.7,59,147,0.401,0,0,0.0,34,61,0.557,152,5.6,34,64,98,3.6,44,14,32,10,4
11,Anndea Zeigler,27,3.0,395,14.6,37,134,0.276,7,37,0.189,33,72,0.458,114,4.2,21,30,51,1.9,52,16,52,17,5
32,Saliah Serrette,25,7.0,375,15.0,29,85,0.341,7,26,0.269,28,36,0.778,93,3.7,18,36,54,2.2,41,8,26,10,17
23,Sarah Cooley,28,20.0,580,20.7,20,75,0.267,12,49,0.245,6,10,0.6,58,2.1,32,73,105,3.8,37,35,22,19,9
33,Shannon Conely,21,1.0,173,8.2,18,46,0.391,0,1,0.0,9,15,0.6,45,2.1,8,21,29,1.4,14,9,15,2,0
22,Olivia Vernon ,28,6.0,392,14.0,19,66,0.288,4,28,0.143,11,16,0.688,53,1.9,5,33,38,1.4,42,52,42,8,0
04,Anna Sweny,30,24.0,730,24.3,19,73,0.26,4,30,0.133,6,21,0.286,48,1.6,34,105,139,4.6,74,62,44,55,3
25,Abby Schwenk,15,3.0,59,3.9,7,12,0.583,2,3,0.667,0,0,0.0,16,1.1,2,3,5,0.3,9,2,4,1,0
01,Zhane Irby,15,0.0,41,2.7,2,8,0.25,1,3,0.333,4,8,0.5,9,0.6,1,2,3,0.2,9,1,5,3,0
03,Amanda Schiefen,13,0.0,66,5.1,3,9,0.333,0,1,0.0,0,0,0.0,6,0.5,2,4,6,0.5,5,1,3,3,2
