Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
21,Nitzan Amar,28,28.0,967,34.5,109,298,0.366,39,117,0.333,41,60,0.683,298,10.6,11,93,104,3.7,37,128,60,35,9
23,Inés Giménez Monserrat,31,31.0,921,29.7,123,308,0.399,43,152,0.283,29,35,0.829,318,10.3,30,104,134,4.3,68,96,99,37,8
09,Leyla Öztürk,29,29.0,898,31.0,114,241,0.473,0,12,0.0,26,39,0.667,254,8.8,53,120,173,6.0,74,45,49,27,56
25,Petra Juric,28,26.0,778,27.8,96,178,0.539,2,8,0.25,47,61,0.77,241,8.6,55,117,172,6.1,48,43,52,24,27
04,Tegan Young,31,14.0,715,23.1,90,224,0.402,36,111,0.324,41,57,0.719,257,8.3,43,63,106,3.4,65,30,58,24,4
00,Brianna Davis,27,2.0,506,18.7,71,170,0.418,13,42,0.31,50,65,0.769,205,7.6,14,46,60,2.2,54,27,32,33,6
01,Hana Mühl,28,22.0,801,28.6,60,160,0.375,21,73,0.288,40,48,0.833,181,6.5,21,130,151,5.4,67,88,79,33,7
06,Kristina Juric,31,1.0,460,14.8,53,98,0.541,0,3,0.0,19,35,0.543,125,4.0,31,76,107,3.5,32,19,43,6,29
05,Claudia Jimenez ,19,1.0,124,6.5,9,28,0.321,6,19,0.316,2,4,0.5,26,1.4,1,12,13,0.7,5,14,25,8,0
10,Alyssa Costigan,16,0.0,42,2.6,2,6,0.333,0,1,0.0,2,4,0.5,6,0.4,1,0,1,0.1,3,1,4,1,0
14,Alexis Rosenfeld ,8,0.0,13,1.6,1,2,0.5,0,1,0.0,0,0,0.0,2,0.3,0,3,3,0.4,2,0,0,0,1
15,Caroline de Klauman,1,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0
